id,reasoning,brand,car_model,imputed_year,imputed_mileage_km,imputed_condition,battery_status,is_accident_free,has_aftermarket_mods
13,"From Name: 'Xe VinFast VF8 Plus AWD 2023' implies brand VinFast and model VF8 Plus AWD, imputed_year=2023. Mileage not explicitly stated; returning null.",VinFast,VF8 Plus AWD,2023,,,,,False
14,"From Name: 'Xe VinFast VF3 Plus 2026' implies brand VinFast and model VF3 Plus, imputed_year=2026. Mileage not explicitly stated; returning null.",VinFast,VF3 Plus,2026,,,,,False
15,Year inferred from model name VF8 Eco AWD 2023; mileage from odo 64.000 km; condition not explicitly stated (no 'Mới 100%' or 'Đã qua sử dụng' phrase found); accident-free stated by Cam kết: Không đâm va – Không ngập nước – Không lỗi điện; battery_status and aftermarket_mods not explicitly mentioned.,VinFast,VF8 Eco AWD,2023,64000.0,,,True,False
16,Year inferred from model name VF8 Plus AWD (2023); odo 47.000 km -> 47000; no explicit condition label; no explicit accident status; battery_status and aftermarket_mods not stated.,VinFast,VF8 Plus AWD,2023,47000.0,,,,False
17,Year inferred from text Sản xuất: 2025; odo 20.000 km present; no explicit condition or accident statement; battery and mods not stated.,VinFast,VF6 Plus,2025,20000.0,,,,False
18,Year inferred from VFe34 2022; mileage not stated; battery status explicit as 'đã mua đứt pin' -> Mua pin; accident-free stated as 'Cam kết xe chưa đâm đụng ngập nước';,VinFast,VF e34 AT,2022,,,Mua pin,True,False
19,Year 2022 from name; odo 60.000 km; accident-free stated in Cam kết: Không đâm va – Không ngập nước – Không lỗi điện.,VinFast,VF8 Eco AWD,2022,60000.0,,,True,False
20,Year 2023 stated in name; no ODO provided; no explicit accident status; battery/mods not stated.,VinFast,VF8 Eco AWD,2023,,,,,False
21,Year 2026 from name; no mileage or condition data explicitly stated.,Bestune,Xiaoma,2026,,,,,False
22,Year 2025 from name; no mileage; no explicit accident status.,Ford,Mustang Mach-E Premium AWD,2025,,,,,False
23,Year 2026 from name; no mileage/condition; no accident/battery/mods details.,VinFast,VF6 Plus,2026,,,,,False
24,"Year 2025 from name; mileage ~36,000 km; accident-free explicit via cam kết: máy móc, hộp số nguyên zin, không tai nạn, thủy kích.",VinFast,VF5 Plus,2025,36000.0,,,True,False
25,Year 2025 from name; no mileage; no accident/battery/mods info.,VinFast,VF7 Eco,2025,,,,,False
26,Year 2025 from name; no mileage/condition info.,VinFast,Limo Green AT,2025,,,,,False
27,Year 2025; mileage 10800 km; no explicit accident/battery/mods.,VinFast,VF5 Plus,2025,10800.0,,,,False
28,"Year 2023 from name; accident-free explicit via cam kết not đâm đụng, ngập nước.",VinFast,VF8 Plus AWD,2023,,,,True,False
29,Year 2026 from name; no mileage/condition/accident info.,VinFast,VF6 Plus,2026,,,,,False
30,"Brand: VinFast found in 'Xe VinFast VF9 Eco 2026'. Car model: VF9 Eco (from 'VF9 Eco 2026'). Imputed year: 2026 as shown in the name 'VF9 Eco 2026'. Imputed_mileage_km: Not explicitly mentioned, returning null. Imputed_condition: Not explicitly mentioned, returning null. Battery_status: Not explicitly mentioned, returning null. Is_accident_free: Not explicitly mentioned, returning null. Has_aftermarket_mods: Not explicitly mentioned, returning null.",VinFast,VF9 Eco,2026,,,,,False
31,"Brand: VinFast found in 'Xe VinFast VF8 Eco AWD 2022'. Car model: VF8 Eco AWD. Imputed year: 2022 as shown in the name. Imputed_mileage_km: Mileage stated explicitly as 'CHẠY 6 VẠN KM' -> 60,000 km. Imputed_condition: Not explicitly stated, returning null. Battery_status: Not explicitly mentioned, returning null. Is_accident_free: Not explicitly mentioned, returning null. Has_aftermarket_mods: Not explicitly mentioned, returning null.",VinFast,VF8 Eco AWD,2022,60000.0,,,,False
32,"Brand: VinFast from 'Xe VinFast VF5 Plus 2026'. Car model: VF5 Plus. Imputed year: 2026 from the name. Imputed_mileage_km: Not explicitly stated, returning null. Imputed_condition: Not explicitly stated, returning null. Battery_status: Not explicitly mentioned, returning null. Is_accident_free: Not explicitly mentioned, returning null. Has_aftermarket_mods: Not explicitly mentioned, returning null.",VinFast,VF5 Plus,2026,,,,,False
33,"Brand: VinFast from 'Xe VinFast Limo Green 2026'. Car model: Limo Green. Imputed_year: 2026 from the name. Imputed_mileage_km: Not explicitly stated, returning null. Imputed_condition: Not explicitly stated, returning null. Battery_status: Not explicitly mentioned, returning null. Is_accident_free: Not explicitly mentioned, returning null. Has_aftermarket_mods: Not explicitly mentioned, returning null.",VinFast,Limo Green,2026,,,,,False
34,"Brand: VinFast from 'Xe VinFast VF6 Plus 2024'. Car model: VF6 Plus. Imputed_year: 2024 from the name. Imputed_mileage_km: Not explicitly stated, returning null. Imputed_condition: Not explicitly stated, returning null. Battery_status: Not explicitly mentioned, returning null. Is_accident_free: Not explicitly mentioned, returning null. Has_aftermarket_mods: Not explicitly mentioned, returning null.",VinFast,VF6 Plus,2024,,,,,False
35,"Brand: VinFast from 'Xe VinFast VF8 Plus AWD 2023'. Car model: VF8 Plus AWD. Imputed_year: 2023 from the name. Imputed_mileage_km: Odo: 35,000 km -> 35000. Imputed_condition: Not explicitly stated, returning null. Battery_status: Not explicitly mentioned, returning null. Is_accident_free: Not explicitly mentioned, returning null. Has_aftermarket_mods: Not explicitly mentioned, returning null.",VinFast,VF8 Plus AWD,2023,35000.0,,,,False
36,"Brand: VinFast from 'Xe VinFast VF5 Plus 2026'. Car model: VF5 Plus. Imputed_year: 2026 from the name. Imputed_mileage_km: Not explicitly stated, returning null. Imputed_condition: Not explicitly stated, returning null. Battery_status: Not explicitly mentioned, returning null. Is_accident_free: Not explicitly mentioned, returning null. Has_aftermarket_mods: Not explicitly mentioned, returning null.",VinFast,VF5 Plus,2026,,,,,False
37,"Brand: VinFast from 'Xe VinFast VF9 Eco 2026'. Car model: VF9 Eco. Imputed_year: 2026 from the name. Imputed_mileage_km: Not explicitly stated, returning null. Imputed_condition: Not explicitly stated, returning null. Battery_status: Not explicitly mentioned, returning null. Is_accident_free: Not explicitly mentioned, returning null. Has_aftermarket_mods: Not explicitly mentioned, returning null.",VinFast,VF9 Eco,2026,,,,,False
38,"Brand: VinFast from 'Xe VinFast VF8 Plus AWD 2026'. Car model: VF8 Plus AWD. Imputed_year: 2026 from the name. Imputed_mileage_km: Not explicitly stated, returning null. Imputed_condition: Not explicitly stated, returning null. Battery_status: Not explicitly mentioned, returning null. Is_accident_free: Not explicitly mentioned, returning null. Has_aftermarket_mods: Not explicitly mentioned, returning null.",VinFast,VF8 Plus AWD,2026,,,,,False
39,"Brand: VinFast from 'Xe VinFast VF7 S 2024'. Car model: VF7 S. Imputed_year: 2024 from the name. Imputed_mileage_km: Not explicitly stated, returning null. Imputed_condition: Not explicitly stated, returning null. Battery_status: Not explicitly mentioned, returning null. Is_accident_free: Not explicitly mentioned, returning null. Has_aftermarket_mods: Not explicitly mentioned, returning null.",VinFast,VF7 S,2024,,,,,False
40,"Brand: VinFast from 'Xe VinFast VF8 Eco AWD 2023'. Car model: VF8 Eco AWD. Imputed_year: 2023 from the name. Imputed_mileage_km: Not explicitly stated, returning null. Imputed_condition: Not explicitly stated, returning null. Battery_status: Not explicitly mentioned, returning null. Is_accident_free: Not explicitly mentioned, returning null. Has_aftermarket_mods: Not explicitly mentioned, returning null.",VinFast,VF8 Eco AWD,2023,,,,,False
41,"Brand: Mercedes-Benz from 'Mercedes Benz EQS 450 Plus 2023'. Car model: EQS 450 Plus. Imputed_year: 2023 from the name. Imputed_mileage_km: Not explicitly stated, returning null. Imputed_condition: Not explicitly stated, returning null. Battery_status: Not explicitly mentioned, returning null. Is_accident_free: Not explicitly mentioned, returning null. Has_aftermarket_mods: Not explicitly mentioned, returning null.",Mercedes-Benz,EQS 450 Plus,2023,,,,,False
42,"Brand: VinFast from 'Xe VinFast EC Van AT 2026'. Car model: EC Van AT. Imputed_year: 2026 from the name. Imputed_mileage_km: Not explicitly stated, returning null. Imputed_condition: Not explicitly stated, returning null. Battery_status: Not explicitly mentioned, returning null. Is_accident_free: Not explicitly mentioned, returning null. Has_aftermarket_mods: Not explicitly mentioned, returning null.",VinFast,EC Van AT,2026,,,,,False
43,"Brand: VinFast from 'Xe VinFast Limo Green AT 2025'. Car model: Limo Green AT. Imputed_year: 2025 from the name. Imputed_mileage_km: Not explicitly stated, returning null. Imputed_condition: Not explicitly stated, returning null. Battery_status: Not explicitly mentioned, returning null. Is_accident_free: Not explicitly mentioned, returning null. Has_aftermarket_mods: Not explicitly mentioned, returning null.",VinFast,Limo Green AT,2025,,,,,False
44,"Brand: VinFast from 'Xe VinFast VF5 Plus 2026'. Car model: VF5 Plus. Imputed_year: 2026 from the name. Imputed_mileage_km: Not explicitly stated, returning null. Imputed_condition: Not explicitly stated, returning null. Battery_status: Not explicitly mentioned, returning null. Is_accident_free: Not explicitly mentioned, returning null. Has_aftermarket_mods: Not explicitly mentioned, returning null.",VinFast,VF5 Plus,2026,,,,,False
45,"From 'Xe Ford Mustang Mach-E Premium AWD 2025' the brand is Ford and the car model is 'Mustang Mach-E Premium AWD'; imputed_year is 2025 (from the name). Mileage: '- Quãng đường di chuyển 1 lần sạc: 550km' describes range per charge, not odometer. imputed_mileage_km: Not explicitly mentioned, returning null. imputed_condition: Not explicitly mentioned, returning null. battery_status: Not explicitly mentioned, returning null. is_accident_free: Not explicitly mentioned, returning null. has_aftermarket_mods: Not explicitly mentioned, returning null.",Ford,Mustang Mach-E Premium AWD,2025,,,,,False
46,"From 'Xe Mercedes Benz EQS 580 4Matic 2023' the brand is Mercedes Benz, car_model 'EQS 580 4Matic', imputed_year 2023. Odo: 31 ngàn km => 31000 km mileage. Condition inferred from ODO as 'Đã qua sử dụng'. imputed_mileage_km: 31000. imputed_condition: Đã qua sử dụng. imputed_year: 2023.",Mercedes Benz,EQS 580 4Matic,2023,31000.0,Đã qua sử dụng,,,False
47,"From 'Xe VinFast VF3 Plus 2024' the brand VinFast, car_model VF3 Plus, imputed_year 2024. Mileage: 'đi được 9000km' => 9000. Condition: '1 chủ sử dụng từ mới' indicates used, so 'Đã qua sử dụng'. imputed_mileage_km: 9000. imputed_condition: Đã qua sử dụng. imputed_year: 2024.",VinFast,VF3 Plus,2024,9000.0,Đã qua sử dụng,,,False
48,"From 'Xe VinFast VF9 Plus 6S 2026' the brand VinFast, car_model 'VF9 Plus 6S', imputed_year 2026. Mileage: No ODO; description mentions range 626km per charge but not odometer. Therefore mileage null. imputed_condition: Not explicitly mentioned, returning null.",VinFast,VF9 Plus 6S,2026,,,,,False
49,"From 'Xe VinFast VF3 Plus 2025' no ODO stated. Brand VinFast, car_model VF3 Plus, imputed_year 2025. Mileage: Not explicitly mentioned. imputed_mileage_km: Not explicitly mentioned, returning null. imputed_condition: Not explicitly mentioned, returning null.",VinFast,VF3 Plus,2025,,,,,False
50,From 'Xe VinFast VF8 S 2024' 'Odo: 24KM' indicates 24 km mileage. Text 'Like New' suggests near-new condition. imputed_mileage_km: 24. imputed_year: 2024. imputed_condition: Đã qua sử dụng. battery_status: null. is_accident_free: null. has_aftermarket_mods: null.,VinFast,VF8 S,2024,24.0,Đã qua sử dụng,,,False
51,"From 'Xe VinFast EC Van AT 2026' the brand VinFast, car_model EC Van AT, imputed_year 2026. ODO not mentioned; mileage null. imputed_condition: null.",VinFast,EC Van AT,2026,,,,,False
52,From 'Xe Mercedes Benz EQB 250 2023' 'ODO 30 KM!' => mileage 30. Brand Mercedes Benz; car_model EQB 250; year 2023. imputed_mileage_km: 30. imputed_condition: Đã qua sử dụng (due to ODO presence).,Mercedes Benz,EQB 250,2023,30.0,Đã qua sử dụng,,,False
53,"From 'Xe Hongqi E-HS9 Premium 2022' includes '3vạn2km zin' (32,000 km) and '1 chủ từ đầu'. Mileage 32000. Brand Hongqi; car_model E-HS9 Premium 6S; Year 2022. imputed_mileage_km: 32000. imputed_condition: Đã qua sử dụng.",Hongqi,E-HS9 Premium 6S,2022,32000.0,Đã qua sử dụng,,,False
54,"From 'Xe VinFast VF3 Plus 2025' includes '1.5 vạn' (15,000 km) mileage. Brand VinFast; car_model VF3 Plus; Year 2025. imputed_mileage_km: 15000. imputed_condition: null.",VinFast,VF3 Plus,2025,15000.0,,,,False
55,"From 'Hongqi E-HS9 Premium 2022' includes '3v2 km zin' (32,000 km) and '1 chủ từ đầu'. Mileage 32000. Brand Hongqi; car_model E-HS9 Premium 6S; Year 2022. imputed_mileage_km: 32000. imputed_condition: Đã qua sử dụng.",Hongqi,E-HS9 Premium 6S,2022,32000.0,Đã qua sử dụng,,,False
56,From 'Xe VinFast VF9 Plus 7S 2025' includes 'odo 1v8 km' -> 18000 km mileage. Brand VinFast; car_model VF9 Plus 7S; Year 2025. imputed_mileage_km: 18000. imputed_condition: Đã qua sử dụng.,VinFast,VF9 Plus 7S,2025,18000.0,Đã qua sử dụng,,,False
57,"From 'Xe Mercedes Benz EQS 580 4Matic 2023' mentions 'Xe có sẵn, giao ngay' and 'Quãng đường di chuyển lên tới 700km' but no ODO; mileage null. Brand Mercedes Benz; car_model EQS 580 4Matic; Year 2023.",Mercedes Benz,EQS 580 4Matic,2023,,,,,False
58,From 'VinFast VF8 Plus AWD 2023' 'Odo: 50.000km' => mileage 50000. Brand VinFast; car_model VF8 Plus AWD; Year 2023. imputed_mileage_km: 50000. imputed_condition: Đã qua sử dụng (based on mileage).,VinFast,VF8 Plus AWD,2023,50000.0,Đã qua sử dụng,,,False
59,From 'Xe VinFast VF6 Eco 2026' no ODO; mileage null. Brand VinFast; car_model VF6 Eco; Year 2026.,VinFast,VF6 Eco,2026,,,,,False
60,"From Name: 'Xe VinFast VF9 Eco 2025', evidence of brand VinFast and model VF9 Eco with year 2025. No explicit mileage, condition, battery status, or accidents stated. Therefore: brand='VinFast', car_model='VF9 Eco', imputed_year=2025, imputed_mileage_km=null, imputed_condition=null, battery_status=null, is_accident_free=null, has_aftermarket_mods=null.",VinFast,VF9 Eco,2025,,,,,False
61,"From Name: 'Xe VinFast VF6 Plus 2026', evidence of brand VinFast and model VF6 Plus with year 2026. No mileage or other fields provided.",VinFast,VF6 Plus,2026,,,,,False
62,"From Desc: 'Tr sản xuất 2021' and 'lăn bánh 21.000km', explicit year 2021 and mileage 21000.",Porsche,Taycan Base,2021,21000.0,,,,False
63,"Desc states 'Xe Vinfast VF9 Plus mới 100%, xe chính hãng' indicating 'Mới 100%'. Therefore imputed_condition='Mới 100%' and per rule 2, mileage=0. Year from Name: 2025.",VinFast,VF9 Eco,2025,0.0,Mới 100%,,,False
64,"From Name: 'Xe VinFast VF5 Plus 2025' indicates brand VinFast, model VF5 Plus, year 2025. No mileage or other fields.",VinFast,VF5 Plus,2025,,,,,False
65,"From Name: 'Xe VinFast VF3 Plus 2025' indicates brand VinFast, model VF3 Plus, year 2025. No mileage or other fields.",VinFast,VF3 Plus,2025,,,,,False
66,"From Name: 'Xe VinFast VF3 Plus 2026' indicates brand VinFast, model VF3 Plus, year 2026. No mileage or other fields.",VinFast,VF3 Plus,2026,,,,,False
67,From Desc: 'Odo: 35.000km' explicit mileage; 'VinFast VF8 Plus AWD 2023' gives year 2023. No explicit accident info.,VinFast,VF8 Plus AWD,2023,35000.0,,,,False
68,"From Name: 'Xe VinFast VF6 Eco 2025' indicates brand VinFast, model VF6 Eco, year 2025. No mileage or other fields.",VinFast,VF6 Eco,2025,,,,,False
69,"From Desc: includes 'Không đâm đụng, không ngập nước' indicating accident-free and 'VinFast VF8 Eco AWD 2023' year 2023. Mileage not stated.",VinFast,VF8 Eco AWD,2023,,,,True,False
70,From Desc: 'VF8 Eco AWD 2023' indicates year 2023. No mileage or other fields. Accident status not stated.,VinFast,VF8 Eco AWD,2023,,,,,False
71,From Desc: ' VF8 Plus AWD 2026' indicates year 2026. No mileage or other fields.,VinFast,VF8 Plus AWD,2026,,,,,False
72,"From Desc: 'Odo : 48.000 km' and 'không đâm đụng, không ngập nước' indicating mileage 48000 and accident-free. Year from Name 2023.",VinFast,VF8 Eco AWD,2023,48000.0,,,True,False
73,From Name/Desc: 'Herio Green VinFast' indicates VinFast brand; model 'Herio Green AT'; year 2025 from Name. No mileage.,VinFast,Herio Green AT,2025,,,,,False
74,"From Name: 'Xe VinFast VF7 Plus 2026' indicates brand VinFast, model VF7 Plus, year 2026. No mileage.",VinFast,VF7 Plus,2026,,,,,False
75,"From the title 'Xe VinFast VF3 Plus 2025' the year is 2025. The description mentions 'quãng đường di chuyển 205-210 km (dự kiến)' which is a range, not a single value, so imputed_mileage_km is null.",VinFast,VF3 Plus,2025,,,,,False
76,The title 'Xe VinFast VF8 Plus AWD 2023' indicates year 2023. No explicit mileage provided in text.,VinFast,VF8 Plus AWD,2023,,,,,False
77,"The title 'Xe VinFast VF8 Eco AWD 2023' indicates year 2023. There is 'odo hơn 5 vạn' in the description; since not an exact value, imputed_mileage_km remains null.",VinFast,VF8 Eco AWD,2023,,,,,False
78,The title 'Xe VinFast VF8 Plus AWD 2023' indicates year 2023. No explicit mileage.,VinFast,VF8 Plus AWD,2023,,,,,False
79,"The title includes year 2023. The description states 'xe chạy chuẩn 6,5 vạn km' which implies 65,000 km; imputed_mileage_km = 65000.",VinFast,VF8 Plus AWD,2023,65000.0,,,,False
80,The title 'Xe VinFast VF9 Plus 7S 2025' indicates year 2025. No explicit mileage.,VinFast,VF9 Plus 7S,2025,,,,,False
81,The title 'Xe VinFast VF8 Eco AWD 2023' indicates year 2023. No explicit mileage.,VinFast,VF8 Eco AWD,2023,,,,,False
82,The title 'Xe VinFast Limo Green AT 2025' indicates year 2025. No explicit mileage.,VinFast,Limo Green AT,2025,,,,,False
83,The title 'Xe VinFast Limo Green AT 2025' indicates year 2025. No explicit mileage.,VinFast,Limo Green AT,2025,,,,,False
84,The title 'Xe VinFast Limo Green AT 2025' indicates year 2025. No explicit mileage.,VinFast,Limo Green AT,2025,,,,,False
85,"The title 'Xe VinFast VF5 Plus 2024' indicates year 2024. The text includes 'Odo 2,4vkm' which suggests 2400 km; imputed_mileage_km = 2400.",VinFast,VF5 Plus,2024,2400.0,,,,False
86,The title 'Xe VinFast VF5 Plus 2024' indicates year 2024. The text includes 'Odo 1v9 km' which suggests 1900 km; imputed_mileage_km = 1900.,VinFast,VF5 Plus,2024,1900.0,,,,False
87,"The text includes 'Option Flim 3M thương gia, thảm sàn 6D Vip...' indicating aftermarket mods are present; has_aftermarket_mods = true. The title also includes 'VF9 Plus 7S 2024'.",VinFast,VF9 Plus 7S,2024,9000.0,,,,True
88,"The description contains 'Không đâm đụng, không ngập nước' which implies accident-free. The title includes 'VF8 Plus AWD 2023'.",VinFast,VF8 Plus AWD,2023,,,,True,False
89,The title 'Xe VinFast VF8 Plus AWD 2024' indicates year 2024. No explicit mileage.,VinFast,VF8 Plus AWD,2024,,,,,False
90,"Year 2026 explicitly mentioned in the description -> imputed_year=2026. Condition: 'Xe điện mới 100%' indicates new -> imputed_condition='Mới 100%'. NEW CAR LOGIC applies: imputed_mileage_km=0 due to 'Mới 100%'. Mileage explicitly not provided elsewhere -> 0. Other fields (battery_status, is_accident_free, has_aftermarket_mods) not explicitly mentioned -> null. Not explicitly mentioned, returning null.",VinFast,VF8 Eco,2026,0.0,Mới 100%,,,False
91,"Year 2023 stated as part of the model/description ('sx 2023') -> imputed_year=2023. Odo mileage 'Odo đi 4v' is mentioned but not as a clear numeric value -> imputed_mileage_km=null. No explicit condition, battery_status, or accident/mods info provided -> null for those fields. Not explicitly mentioned, returning null.",VinFast,VF8 Eco AWD,2023,,,,,False
92,"Year 2026 mentioned in the title ('Xe VinFast VF3 Plus 2026') -> imputed_year=2026. Mileage not clearly stated; condition not stated -> imputed_mileage_km=null, imputed_condition=null. Other fields not explicitly mentioned -> null. Not explicitly mentioned, returning null.",VinFast,VF3 Plus,2026,,,,,False
93,"Year 2025 stated in the name (' VF5 Plus 2025') -> imputed_year=2025. No explicit mileage or condition provided in the description -> imputed_mileage_km=null, imputed_condition=null. Other fields not explicitly mentioned -> null. Not explicitly mentioned, returning null.",VinFast,VF5 Plus,2025,,,,,False
94,"Year 2026 indicated ('VF6 Eco 2026') -> imputed_year=2026. No explicit mileage or condition provided -> imputed_mileage_km=null, imputed_condition=null. Other fields not explicitly mentioned -> null. Not explicitly mentioned, returning null.",VinFast,VF6 Eco,2026,,,,,False
95,"Year 2026 indicated in the name ('Herio Green AT 2026') -> imputed_year=2026. No explicit mileage or condition provided -> imputed_mileage_km=null, imputed_condition=null. Other fields not explicitly mentioned -> null. Not explicitly mentioned, returning null.",VinFast,Herio Green AT,2026,,,,,False
96,"Description states 'Xe mới 100%, sẵn xe tại showroom' -> imputed_condition='Mới 100%'. NEW CAR LOGIC applies: imputed_mileage_km=0. Year 2025 inferred from 'EX5 Max 2025' in title -> imputed_year=2025. Other fields not explicitly mentioned -> null.",Geely,EX5 Max,2025,0.0,Mới 100%,,,False
97,"Year 2026 indicated in the name ('Limo Green AT 2026') -> imputed_year=2026. No explicit mileage or condition provided -> imputed_mileage_km=null, imputed_condition=null. Other fields not explicitly mentioned -> null. Not explicitly mentioned, returning null.",VinFast,Limo Green AT,2026,,,,,False
98,"Description shows 'VF8 Plus 2023' with 'odo 48.000km' -> imputed_year=2023, imputed_mileage_km=48000. No explicit condition -> imputed_condition=null. Battery status not explicitly stated -> null. Other fields not explicitly mentioned -> null.",VinFast,VF8 Plus AWD,2023,48000.0,,,,False
99,"Year 2026 indicated in the name ('VF9 Eco 2026') -> imputed_year=2026. No explicit mileage or condition provided -> imputed_mileage_km=null, imputed_condition=null. Other fields not explicitly mentioned -> null.",VinFast,VF9 Eco,2026,,,,,False
100,"Year 2022 stated in the description ('Năm sx: 2022') and model ('VF8 Eco AWD 2022') -> imputed_year=2022. Mileage 'Số km: 5v km' translates to 50000 km -> imputed_mileage_km=50000. No explicit condition or battery status mentioned -> imputed_condition=null, battery_status=null. Not explicitly mentioned, returning null.",VinFast,VF8 Eco AWD,2022,50000.0,,,,False
101,"Name includes '2026' (Limo Green) -> imputed_year=2026. No explicit mileage or condition provided -> imputed_mileage_km=null, imputed_condition=null. Other fields not explicitly mentioned -> null. Not explicitly mentioned, returning null.",VinFast,Limo Green,2026,,,,,False
102,"Description states 'VF8 Eco AWD 2024' and 'odo 2,4 vạn' meaning 24000 km -> imputed_year=2024, imputed_mileage_km=24000. Condition not explicitly stated -> imputed_condition=null. Battery status explicitly mentions 'pin Catl' but not a 'Mua pin'/'Thuê pin' label -> battery_status=null. Not explicitly mentioned, returning null.",VinFast,VF8 Eco AWD,2024,24000.0,,,,False
103,Year 2023 stated in description ('VF8 Eco Xanh Rêu 2023') -> imputed_year=2023. Mileage 'chạy 5v km' implies 50000 km -> imputed_mileage_km=50000. Condition not explicitly stated -> imputed_condition=null. Battery status not explicitly mentioned -> null.,VinFast,VF8 Eco AWD,2023,50000.0,,,,False
104,"Description states 'Vinfast VF8 PLUS 2025' with 'odo 90km' -> imputed_year=2025, imputed_mileage_km=90. No explicit condition or battery status -> imputed_condition=null, battery_status=null.",VinFast,VF8 Plus AWD,2025,90.0,,,,False
105,Not explicitly stated: 'Mới 100%' is not present. Mileage explicitly given as 5km in text: 'chạy 5km'. Production year inferred from 'sản xuất 2025' and 'Vinfast VF3 Plus 2025'. Brand inferred from 'VinFast'. Model inferred from 'VF3 Plus'.,VinFast,VF3 Plus,2025,5.0,,,,False
106,"Not explicitly stated: mileage, condition, battery ownership not provided. The text includes ' Xe VinFast VF5 Plus 2025' indicating year 2025. The description mentions 'Pin VF 5 Plus' but does not specify battery ownership.",VinFast,VF5 Plus,2025,,,,,False
107,Year inferred from 'Xe Hongqi E-HS9 Premium 2022' and the text 'sx2022'. Mileage not explicit due to garbled '2v8 km'.,Hongqi,E-HS9 Premium,2022,,,,,False
108,Year inferred from 'Xe VinFast VF9 Plus 7S 2026'. Mileage not stated.,VinFast,VF9 Plus 7S,2026,,,,,False
109,Year inferred from 'Xe VinFast VF8 Plus AWD 2022'. Mileage not specified.,VinFast,VF8 Plus AWD,2022,,,,,False
110,Year inferred from 'Xe VinFast VF9 Eco 2025'. Mileage not specified.,VinFast,VF9 Eco,2025,,,,,False
111,Year inferred from 'Xe VinFast VF6 Plus 2024'. Odo explicitly stated as 37.000 km.,VinFast,VF6 Plus,2024,37000.0,,,,False
112,Year inferred from 'Xe VinFast VF8 Plus AWD 2023'. Odo explicitly stated as 47.801 km.,VinFast,VF8 Plus AWD,2023,47801.0,,,,False
113,"Year inferred from 'Xe VinFast VF8 Plus AWD 2022' in name, though description includes 'sx 2023'. Mileage not explicit.",VinFast,VF8 Plus AWD,2022,,,,,False
